"WMEA_01158_No_5 Water","WMEA_00914_An_M2 Coral","WMEA_00922_An_M2 Coral","WMEA_00856_An_M1 Coral","WMEA_00843_An_M1 MarineInvert","WMEA_00905_An_M2 MarineInvert","WMEA_00913_An_M2 MarineInvert","WMEA_00964_Pl_M2 CCA","WMEA_01172_NA_NA NegativeControl",NA,NA,NA
"WMEA_01159_No_4 Water","WMEA_00915_An_M2 Coral","WMEA_00849_An_M1 Coral","WMEA_00857_An_M1 Coral","WMEA_00844_An_M1 MarineInvert","WMEA_00906_An_M2 MarineInvert","WMEA_00896_Pl_M1 CCA","WMEA_00965_Pl_M2 CCA","WMEA_01173_NA_NA NegativeControl","","",""
"WMEA_01160_No_M1 Water","WMEA_00916_An_M2 Coral","WMEA_00850_An_M1 Coral","WMEA_00837_An_M1 MarineInvert","WMEA_00846_An_M1 MarineInvert","WMEA_00907_An_M2 MarineInvert","WMEA_00897_Pl_M1 CCA","WMEA_00966_Pl_M2 CCA","","","",""
"WMEA_01161_No_M1 Water","WMEA_00917_An_M2 Coral","WMEA_00851_An_M1 Coral","WMEA_00838_An_M1 MarineInvert","WMEA_00847_An_M1 MarineInvert","WMEA_00908_An_M2 MarineInvert","WMEA_00898_Pl_M1 CCA","WMEA_00967_Pl_M2 CCA","","","",""
"WMEA_01163_No_M2 Water","WMEA_00918_An_M2 Coral","WMEA_00852_An_M1 Coral","WMEA_00839_An_M1 MarineInvert","WMEA_00848_An_M1 MarineInvert","WMEA_00909_An_M2 MarineInvert","WMEA_00899_Pl_M1 CCA","WMEA_00968_Pl_M2 CCA","","","",""
"WMEA_01164_No_M2 Water","WMEA_00919_An_M2 Coral","WMEA_00853_An_M1 Coral","WMEA_00840_An_M1 MarineInvert","WMEA_00902_An_M2 MarineInvert","WMEA_00910_An_M2 MarineInvert","WMEA_00900_Pl_M1 CCA","WMEA_00969_Pl_M2 CCA","","","",""
"WMEA_01165_No_M1 Water","WMEA_00920_An_M2 Coral","WMEA_00854_An_M1 Coral","WMEA_00841_An_M1 MarineInvert","WMEA_00903_An_M2 MarineInvert","WMEA_00911_An_M2 MarineInvert","WMEA_00901_Pl_M1 CCA","WMEA_00970_Pl_M2 CCA","","","",""
"WMEA_01166_No_M1 Water","WMEA_00921_An_M2 Coral","WMEA_00855_An_M1 Coral","WMEA_00842_An_M1 MarineInvert","WMEA_00904_An_M2 MarineInvert","WMEA_00912_An_M2 MarineInvert","WMEA_00963_Pl_M2 CCA","WMEA_00971_Pl_M2 CCA","","","",""
